snapped_at,price,market_cap,total_volume
2023-04-22 00:00:00 UTC,0.0006120752455366327,0.0,27380.991835746587
2023-04-23 00:00:00 UTC,0.0006120752455366327,0.0,27380.991835746587
2023-04-24 00:00:00 UTC,0.0004511279388983971,0.0,17145.939152081573
2023-04-25 00:00:00 UTC,0.00040086526050680626,0.0,19467.543745998275
2023-04-26 00:00:00 UTC,0.001790488741596502,0.0,312791.4638341172
2023-04-27 00:00:00 UTC,0.0021660301459813375,0.0,898222.441799942
2023-04-28 00:00:00 UTC,0.001524107729134503,0.0,523466.09991293587
2023-04-29 00:00:00 UTC,0.0013498583146468338,0.0,214958.89528591614
2023-04-30 00:00:00 UTC,0.001341039399799757,0.0,120539.48296419192
2023-05-01 00:00:00 UTC,0.001200542926977012,0.0,88584.64998025734
2023-05-02 00:00:00 UTC,0.0008905486540661154,0.0,129601.41363783526
2023-05-03 00:00:00 UTC,0.0009442484729736654,0.0,122073.741177099
2023-05-04 00:00:00 UTC,0.000823952536981156,0.0,75363.282371401
2023-05-05 00:00:00 UTC,0.000643288145189845,0.0,69371.25458045649
2023-05-06 00:00:00 UTC,0.0006028183744989484,0.0,82827.2603084718
2023-05-07 00:00:00 UTC,0.0005812502396947795,0.0,46331.0393358224
2023-05-08 00:00:00 UTC,0.0005340132942219512,0.0,49719.50146993617
2023-05-09 00:00:00 UTC,0.00046791312977393355,0.0,33336.640323249805
2023-05-10 00:00:00 UTC,0.0006357633868195938,0.0,88795.15991477903
2023-05-11 00:00:00 UTC,0.0006101184091225545,0.0,58211.539340336676
2023-05-12 00:00:00 UTC,0.0005710420728292304,0.0,39881.73232315768
2023-05-13 00:00:00 UTC,0.0005389845660187772,0.0,35429.002771460415
2023-05-14 00:00:00 UTC,0.0005153885768437505,0.0,31894.816018196376
2023-05-15 00:00:00 UTC,0.0004911129773281866,0.0,30748.31700815885
2023-05-16 00:00:00 UTC,0.0004760482689892903,0.0,32150.205564570428
2023-05-17 00:00:00 UTC,0.00044495481690353213,0.0,30310.55475161023
2023-05-18 00:00:00 UTC,0.00038227175706367553,0.0,44103.85472479403
2023-05-19 00:00:00 UTC,0.00038933902912670343,0.0,24603.503488294406
2023-05-20 00:00:00 UTC,0.00037781869829108704,0.0,12184.215825642104
2023-05-21 00:00:00 UTC,0.0003742995885696838,0.0,20019.341222958967
2023-05-22 00:00:00 UTC,0.0003272354213447889,0.0,22639.176307856505
2023-05-23 00:00:00 UTC,0.0003242150786294708,0.0,15153.355051292316
2023-05-24 00:00:00 UTC,0.00031443270335169423,0.0,24246.28519179587
2023-05-25 00:00:00 UTC,0.00028857573899298124,0.0,20832.39535762939
